EmployeeID,BenefitID,UsageFrequency,LastUsedDate,Age,Gender,Department,Tenure,BenefitType,BenefitSubType,BenefitCost,SatisfactionScore,Comments,age_group,tenure_group,subcat_401k Basic Matching,subcat_401k Catch-Up Contributions,subcat_401k High Contribution,subcat_401k Investment Fees,subcat_401k Maximum Matching,subcat_401k Standard Matching,subcat_After-School Care,subcat_Basic Coverage,subcat_Conference Attendance,subcat_Dependent Coverage,subcat_Family Membership,subcat_Graduate Degree,subcat_HDHP Individual,subcat_HMO Family,subcat_Healthcare FSA,subcat_Individual Courses,subcat_Monthly Communications,subcat_Monthly Internet Allowance,subcat_On-Site Infant Care,subcat_PPO Family,subcat_PPO Individual,subcat_Premium Discount Tier 1,subcat_Professional Certification,subcat_Supplemental High Amount,subcat_Supplemental Standard,subcat_Tier 1 Partners,subcat_Tier 2 Partners,subcat_Tier 3 Partners,subcat_Transit Subsidy,subcat_Undergraduate Degree
220,20,4,2024-05-03,64,Male,HR,35,Tuition Reimbursement,Undergraduate Degree,489.96,1,Not worth the hassle.,Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1820,26,1,2024-02-08,53,Male,Finance,2,Gym Membership,Family Membership,519.66,2,Not many locations available.,Gen X,<5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
285,16,2,2023-10-27,64,Male,Marketing,35,Health Insurance,HDHP Individual,84.55,3,"Satisfactory, but could improve.",Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4536,8,8,2024-07-03,32,Female,Sales,10,Wellness Programs,Premium Discount Tier 1,125.0,1,Barely any time off given.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1262,12,3,2024-04-13,42,Male,Finance,1,Tuition Reimbursement,Graduate Degree,824.53,3,Helps but limited in scope.,Gen X,<5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1509,6,5,2024-05-03,22,Male,IT,3,Retirement Plan,401k Standard Matching,598.44,4,Good plan with decent returns.,Gen Z,<5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2898,13,0,2024-04-15,43,Female,Sales,9,Cell Phone Allowance,Monthly Communications,65.0,2,Not much flexibility offered.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1500,27,8,2024-07-31,60,Male,Marketing,25,Retirement Plan,401k Maximum Matching,913.01,5,Top-notch retirement plan.,Boomer,>15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4355,2,0,2024-05-18,50,Female,Marketing,2,Health Insurance,PPO Individual,706.93,1,"Terrible service, would not recommend.",Gen X,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3880,22,1,2023-12-31,37,Male,Sales,14,Health Insurance,HMO Family,624.0,2,Not happy with the coverage options.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
