BenefitType,BenefitSubType,CurrentBudget,CurrentUtilization,CurrentSatisfaction,AdjustedBudget,AdjustedShare,PredictedUtilization,PredictedSatisfaction,CostPerEmployee,PredictedROI,Change
Cell Phone Allowance,Monthly Communications,14755.0,3.6872246696035242,3.066079295154185,13672.315083454461,0.0034215844150537866,3.6663317218757747,3.0613702210662566,60.23046292270688,0.18635086315548843,-0.004709074087928311
Childcare,After-School Care,112575.0,2.869198312236287,3.0970464135021096,307059.2736381904,0.07684354981327092,2.8573351374116083,2.9938198272082728,660.3425239530976,0.012954408170098916,-0.10322658629383685
Childcare,On-Site Infant Care,218799.72,2.811715481171548,2.8870292887029287,307059.2736381904,0.07684354981327092,2.8573351374116083,2.9938198272082728,660.3425239530976,0.012954408170098916,0.10679053850534403
Commuter Benefits,Transit Subsidy,84500.0,3.3384615384615386,3.0153846153846153,78299.60179951895,0.01959497682629922,3.3896590535959765,3.006296931615393,301.15231461353443,0.03383776619855986,-0.009087683769222199
Flexible Spending Account,Healthcare FSA,119700.0,3.2781954887218046,3.1954887218045114,110916.71402843099,0.0277576180604499,3.202748501665419,3.180352981479673,416.98012792643226,0.024427712651088885,-0.01513574032483822
Gym Membership,Family Membership,136150.91999999998,3.301526717557252,3.019083969465649,425761.30317420996,0.10654949294116149,3.3747023259219415,3.0115451124089585,448.6420476019072,0.022652955401280945,-0.007538857056690329
Gym Membership,Tier 1 Partners,17679.76,3.2863070539419086,3.099585062240664,425761.30317420996,0.10654949294116149,3.3747023259219415,3.0115451124089585,448.6420476019072,0.022652955401280945,-0.08803994983170549
Gym Membership,Tier 2 Partners,89369.8,3.3192307692307694,3.0884615384615386,425761.30317420996,0.10654949294116149,3.3747023259219415,3.0115451124089585,448.6420476019072,0.022652955401280945,-0.07691642605258009
Gym Membership,Tier 3 Partners,216276.06,3.3935018050541514,2.9458483754512637,425761.30317420996,0.10654949294116149,3.3747023259219415,3.0115451124089585,448.6420476019072,0.022652955401280945,0.06569673695769485
Health Insurance,HDHP Individual,20376.55,2.95850622406639,3.033195020746888,545467.9800749589,0.1365068555064188,3.3633734126078005,3.025397365672876,605.4028635682118,0.016807883930881562,-0.007797655074011978
Health Insurance,HMO Family,158496.0,3.7244094488188977,3.0,545467.9800749589,0.1365068555064188,3.3633734126078005,3.025397365672876,605.4028635682118,0.016807883930881562,0.02539736567287587
Health Insurance,PPO Family,220113.75,3.3417721518987342,3.109704641350211,545467.9800749589,0.1365068555064188,3.3633734126078005,3.025397365672876,605.4028635682118,0.016807883930881562,-0.08430727567733509
Health Insurance,PPO Individual,175318.63999999998,3.1653225806451615,3.1129032258064515,545467.9800749589,0.1365068555064188,3.3633734126078005,3.025397365672876,605.4028635682118,0.016807883930881562,-0.08750586013357564
Life Insurance,Basic Coverage,40160.399999999994,3.4612244897959186,2.9714285714285715,444366.96945500234,0.11120568008938558,3.5332907861890566,3.017089039840006,494.29028860400706,0.021566786059434347,0.04566046841143434
Life Insurance,Dependent Coverage,41385.0,3.336,3.08,444366.96945500234,0.11120568008938558,3.5332907861890566,3.017089039840006,494.29028860400706,0.021566786059434347,-0.0629109601599942
Life Insurance,Supplemental High Amount,224872.96,3.5474137931034484,2.9267241379310347,444366.96945500234,0.11120568008938558,3.5332907861890566,3.017089039840006,494.29028860400706,0.021566786059434347,0.09036490190897117
Life Insurance,Supplemental Standard,198376.96,3.65234375,2.96875,444366.96945500234,0.11120568008938558,3.5332907861890566,3.017089039840006,494.29028860400706,0.021566786059434347,0.04833903984000587
Professional Development,Conference Attendance,226950.0,3.50187265917603,3.0262172284644193,210296.97785089738,0.05262816557075276,3.5414901003283026,2.9726749641951886,787.6291305277056,0.01336631486717305,-0.0535422642692307
